Achievement	Benevolence	Conformity	Hedonism	Power	Security	Self-Direction	Stimulation	Tradition	Universalism
бизнес	Али	ангажимент	апетит	агенция	аларма	активист	адреналин	Аллах	адрес
в горната част	асоциация	ангажименти	Атракция	агресивен	бариера	анализ	безпрецедентен	ангел	алчен
връх	баба	ангажиран	блясък	агресивна	безвредни	аргументация	блъскане	атеист	алчни сме.
Горд	баба и дядо	благоприличие	в сексуален план	атака	безобидни	артистичен	блясък	Библията	алчност
Горд съм.	баба ти.	възмутително	ваканция	битка	безопасност	артистично изкуство	борба	благодат	асортимент
готовност	баща	гъвкавост	весел	благоденствие	благоразумен	безплатно	възможност	благословен	баланс
добив	благодари	да се избегне	вкус	богат	благоразумна	блясък	възможности	благословена да е.	балансиращ
достойнство	благодаря ти.	да се избягва	вкусно е.	богати	болест	бунт	вълнение	благословени да са	благоприличие
експертен опит	близост	дисциплина	възхитителен	богати са.	броня	бъди внимателен	вълнения	благослови	благотворителна
експертиза	братовчед	дисциплиниране	възхитително.	богатство	в безопасност	вдъхновен	вълнуващо	Благословии	благотворителни
елегантност	братство	длъжностно лице	въодушевление	бонус	внимание	вдъхновение	движение	благословия	в духовно отношение
ефективно	вноска	доверие	екстаз	в брой	внимателно.	вдъхновено от Бога	динамика	благочестив	връзка
Ефективност	връзка	достоверност	екстази	висшестоящ	врагове	вдъхновяващо	динамичен	Бог	грациозен
ефикасно	гостоприемство	етикет	еротичен	власт	гаранция	воля	динамична	богословие	демократи
ефикасност	грижа	забранен	еуфория	влияние	далновидност	възнамерява	драма	божественост	демократичен
завършване	грижи	забранено е	жажда	влиятелен	заболяване	възнамерявам	драматичен	брак	демокрация
загуба	грижовна	завет	Желание	влиятелни	запази	въображение	драматично	бракове	дискриминация
заетост	деликатен	задължение	забавлявам се	възвишеност	заплаха	гръбнака	дързост	братя и сестри	добре дошли
заслуги	добра воля	Задължения	забавни	господстващо положение	заплахи	дейност	Експеримент	бронз	добре дошли.
изпълнение	доброта	задължителен	забавно	господство	заплашвам	дейности	екстремни	в рая	дял
капацитет	жалко	Задължително	забавно е.	гръбначен стълб	заплашване	действай	екстремно	верен	единство
качество	жалко.	закон	забавно.	доминантен	заплашена	действайки	енергии	всемогъщ	естествено
квалифициран	загриженост	закони	забалавам	Доминиране	заплашително	действал	енергичен	Всемогъщият	естетика
квалифицирана	заслужаваща доверие	законно	закачлив	доход	застраховка	действащ	Енергия	вяра	естетически
компетентен	интимност	законодателство	играй	доходоносно	застраховки	действие	ентусиазиран	вярващи	жертва
компетентност	искрен	законосъобразно	играйте	егоистично	застрашени	действия	ентусиазирани	генерации	жестоко е.
конкурентен	истински	запазване	игри	егоистично.	защита	директно	ентусиазм	Грейс	заобикаляща среда
конкурентни	квартал	запазен	игрив	елит	защитавам	Дух	ентусиазъм	грехът	защита
конкуренция	колективен	йерархия	изкушение	елита	здраве	дързост	жизненост	грях	защитава
мозъци	кооп	избягва	изпълнение	завладейте	изчисление	замислен	забавен	джамия	защитен
награда	куп	изисква се	комедия	завоевание	изчисляване	Знания	забавление	добродетел	защитени
награди	лечение	изискване	компенсация	заплата	камуфлаж	зрение	забавно е	душа	значение
наемане на работа	лоялен	инструктирани	комфорт	заплати	катастрофални	зрял	завладяващ	дявол	изменя
най велик	лоялна	инструкция	копнеж	Изглед	криза	идея	загадъчно.	етика	има смисъл
най-добре	Лоялност	интегритет	лекота	изгодно	насилие	изберете	изненадващо	етично	интерпретация
напредък	любов	код	ликувайки	изисквания	неприкосновеност	избирам	изненадващо.	женен	искреност
обучение	майка	колебайте	ликуване	излишък	неприятности	избор	изобретение	женен.	климат
одобрение	Майка ми.	колебание	много вкусен	изправяне	обезопасен	известен	изобретения	заповеди	коалиция
опит	надежден	комбинация	наслада	изпълнение	обезопасено	изобретателност	изследовател	институция	компания
оценявам	насърчава се	конвенции	наслади се	икономика	обезпечени	имай предвид	импулсен импулс	ислям	комплекс
печеля	насърчавай	конвенционален	наслаждавай се.	Имот	опасно	индивидуален	интензивен	историческа история	компромис
победа	насърчавам	конвенционално	неприятно	интереси	опасно е.	индивидуалност	интензивно	исторически	кооперативен
повишен	насърчаване	конвенция	неприятно е.	калибър	Опасност	инициатива	интензивност	Исус	координиран
повишение	насърчавани	конгреси	омагьосване	капитал	отбранителна	инстинкт	интензитет	католическа	координирано
подобрение	насърчение	консенсус	оптимизъм	команда	отделение	интелект	интересно	клан	красив
подобрения	нежно.	консервативен	оргазъм	контрол	отстъпление	интелектуалец	интересно.	мисионерска служба	красива е.
популярен	нежност	концесия	освежаване	контролиране	охрана	интелигентен	истерия	мисионерски	красота
популярно	необходимост	легитимен	отдих	лукс	оцеляване	интелигентност	карам	мистик	култура
поражение	обич	легитимни	отпуснете се	манипулация	пазач	интуиция	любопитство	мит	либерал
постигам	окуражаващо	мейнстрийм	очарование	манипулиране	плаша	конфронтация	мотивация	молейки се	либерален
постигащ	отглеждане	мярка	парти	монопол	по-безопасно	креативност	най-нов	молитва	милост
постигнато	отговорен	надеждност	похот	мощ	поверителност	критинчно	напрежение	морал	мир
постигне	отговорно	наказание	почивай си.	мощен	Повишено внимание	лихва	нарушение	морален	мир в мир
почести	отговорност	налагане	по-щастлив	Мощност	подредете се.	лихви	необикновено	морално	мъдрост
правя	отговорности	налагащ	по-щастлива.	награда	подсигурявайки	логика	непознат	Мохамед	мъдър
празнувам	отче.	нарушават	празненства	надзор	попечителство	любопитен	неправилна	мюсюлман	несправедлива
предварително	подарък	нарушен	привличане	най-богатите	поръчка	любопитно ми е	непредвидим	мюсюлмански	несправедливост
предимство	поддържа	неопетненост	приятно ми е.	най-богатият	последствия	мания	непредсказуем	навик	нечестно е
признат	подкрепа	неподходящо	радващ	напред	предвидливост	медитация	нередовен	навици	обединени
признателност	подкрепящ	обезопасяване	Радост	озаглавен	предотвратявам	мислене	несигурен	наследство	общество
продуктивен	познанство	образувание	развеселявам	озаглавено	предотвратяване	мислещ	несигурна	небесен	Общност
продуктивни	полезно	ограничен	развлечение	орган	предпазни мерки	мисли	несигурност	небесни	общности
промишленост	помага ми	ограничения	развлечения	пари	предупредени	мисли си.	нестабилен	невинност	обяснение
професионален	Помогне	ограничителен	разсейване	пари в брой	предупреди	мисля	нестабилна	обред	околна среда
професионалист	помощ	ограничително	релаксация	печалба	предупреждение	мисъл	нестабилност	обслужване	освобождение
работа	привързаност	опазване	свободно време	Печалби	проблеми	мнение	нетърпение	параклис	подобие
работни места	принадлежност	оправдавам	се забавлявахме	платина	сигнал	мрачни	новаторски	писание	потвърждение
развитие	принос	органи	секс	победа	следвам	наблюдение	новаторство	покварени	права
разпознава	приятел.	организация	секси	подсилено	спасение	наклон	ново	поклонение	правосъдие
разпознаване	приятели	оставка	секси.	позиция	спокоен	намерение	новост	поколения	предпазва
