Achievement	Benevolence	Conformity	Hedonism	Power	Security	Self-Direction	Stimulation	Tradition	Universalism
anerkannt	aufrichtig	abkommen	ablenkung	agentur	abwehr	absicht	abenteuer	abstammung	abkommen
arbeit	begleiter	ähnlichkeit	angenehm	aggressiv	achtung	ahnung	abenteuer	allah	adresse
arbeitsplätze	begleiter	anforderung	anziehungskraft	angreifen	alarm	aktionen	adrenalin	allmächtig	ähnlichkeit
ausbildung	behandlung	angemessen	appetit	aufsicht	angst	aktivist	amüsant	anbetung	akzeptanz
ausführen	beitrag	angemessen	attraktion	aussicht	ärger	aktivitäten	anders	atheist	akzeptieren
beliebt	bekanntschaft	angemessen	ausgleich	bargeld	aufgeräumt	analyse	änderungen	beten	ändert
belohnung	beratung	angemessen	ausruhen	befehl	barriere	anstrengung	anregend	bibel	anerkennen
bereitschaft	besorgnis	anstand	befriedigung	behörde	beachten	argumentation	antrieb	brut	anerkennung
beschäftigung	beteiligung	anweisung	befriedigung	berechtigt	bedrohlich	aufklärung	atemberaubend	christen	anmutig
beste	beziehung	anweisungen	begierde	bonus	bedroht	beabsichtigen	aufregend	christentum	anstand
champion	brauchen	aufgaben	buhlen	dominant	bedrohung	beabsichtigt	aufregung	christus	ästhetisch
effizient	bruderschaft	aufrechterhaltung	charme	dominanz	bedrohungen	begründung	aufregung	clan	aufrichtigkeit
effizienz	coop	autorisiert	durst	dominieren	berechnung	behaupten	aufregung	ehe	ausgeglichen
ehrungen	cousin	befehle	ekstase	durchsetzung	bestellung	bemühungen	aufruhr	ehen	ausgleich
einrichtung	dankte	befolgen	empfindung	egoistisch	bewachen	beobachtung	außergewöhnlich	ehre	barmherzigkeit
eleganz	echt	begehen	entspannen	eigentum	defensiv	berühmt	begeisterung	ehrfurcht	bedeutung
entwicklung	ehrlich	begrenzungen	entspannung	eigentum	drohen	besessen	beispiellos	engel	befreiung
erfahrung	eltern	behörden	entzückend	einfluss	drohung	besessenheit	belastung	engel	begrüßung
erfolg	empathie	bescheiden	erfreulich	einflussreich	erschrecken	bewusstsein	bestreben	erbe	bestätigung
erfolge	ermunterung	bescheidenheit	erfreut	einkommen	feinde	bildung	bewegung	erbe	demokraten
erfolgreich	ermutigen	beschluss	erfrischung	einnahmen	folgen	brillanz	chancen	erbe	demokratie
erfolgreich	ermutigend	beschränkt	erfüllung	elite	garantie	clever	drama	ethik	demokratisch
erfolgreich	ermutigt	beschränkungen	erholung	erhöhung	gefahr	denken	dramatisch	ethisch	diskriminierung
ergebnisse	familie	bund	erotisch	erlöse	gefährlich	denken	dramatisch	folklore	einheit
erkennen	familien	code	euphorie	erniedrigung	gesichert	denkt	durchbruch	fromm	erklärung
erkennt	frau	demut	faszination	erobern	gesundheit	direkt	dynamik	gebet	ermächtigt
erreichen	freund	demütig	feiern	eroberung	gewalt	disput	dynamisch	gebote	fair
erreichen	freunde	disziplin	fetisch	erwerben	gewarnt	einfallsreichtum	eifer	gemeinde	fairness
erreicht	freundlich	ehrfurcht	freizeit	erzwungen	harmlos	einsicht	einzigartig	generationen	freiheit
ertrag	freundlich	ehrlich	freude	forderungen	katastrophal	eitelkeit	energie	gerechtigkeit	freiheiten
expertise	freundlichkeit	einhalten	freude	führen	konservieren	entdeckung	energien	geschwister	frieden
fähig	freundschaft	einhaltung	freuden	führung	krankheit	entscheidung	energisch	gesegnet	friedlich
fähigkeit	fürsorglich	einklang	frohlockend	gehalt	krise	entschlossen	entdecken	gewissen	fusion
fähigkeiten	gastfreundschaft	einrichtung	frohsinn	geld	notruf	entschlossenheit	entdecken	gewohnheit	gelassenheit
fähigkeiten	gefühl	engagement	funkeln	gestärkt	ordentlich	entschlossenheit	entdecker	gewohnheiten	gemeinschaft
feiern	gemeinschaftlich	engagiert	genießen	gewinn	privatsphäre	entwickeln	entdeckt	gewohnt	gemeinschaft
fertigkeit	geschenk	entität	genießen	gewinn	retten	ernsthaftigkeit	entdeckungen	glaube	gemeinschaft
fertigstellung	großeltern	erforderlich	genießen	gewinnen	rettung	erstellen	enthusiastisch	glaube	gemeinschaften
förderung	großmutter	erhaltung	genießen	handel	rückzug	fähigkeit	erfahrungen	gläubige	gerechtigkeit
fortschreiten	großzügigkeit	etikette	genießt	handel	ruhe	flitzen	erfindung	gnade	geschützt
fortschritt	güte	fasten	genossen	handeln	ruhe	frei	erfindungen	gott	gesellschaft
gefördert	helfen	flexibilität	genuss	herrschaft	ruhe	freiheit	erforschen	gottesdienst	gier
gehirne	helfen	förmlich	geschmack	interessen	ruhe	gedanke	erkundung	gottheit	gierig
gelingen	hilfe	geduld	glück	kaliber	ruhig	gedanken	experiment	heilig	gleichberechtigung
genehmigung	hilfe	geeignet	glücklich	kämpfen	rüstung	gehandelt	extrem	heilig	grausam
geschäft	hilfe	gehorchen	glücklich	kante	sauber	geist	faszinierend	heilige schrift	großzügig
gewinnen	hilfreich	gehorsam	glücklicher	kapital	schaden	geist	faszinierend	heiligkeit	interpretation
gewonnen	intimität	gelassenheit	häme	kauf	schäden	gelehrter	feigling	himmel	klima
größte	kameradschaft	genehmigt	heiter	kaufen	schild	gelernt	fortschrittlich	himmel	koalition
größte	liebe	genehmigung	hochgefühl	könnte	schutz	gesinnt	gedränge	himmlisch	komplex
handwerk	loyal	gesetz	humor	kontrolle	sicher	grit	geheimnisvoll	historisch	kompromiss
honorierung	loyalität	gesetze	jubeln	kontrollierend	sicher	grübeln	gelangweilt	institution	kooperativ
industrie	mann	gesetzgebung	komfort	kraft	sicher	handeln	gelegenheit	islam	koordiniert
job	mitfühlend	glaubwürdigkeit	komfortabel	lohn	sicherer	handelnd	gewagt	jesus	kultur
kapazität	mitgefühl	grund	komödie	luxus	sicherheit	handlung	glamour	kapelle	liberal
kompetent	mitleid	hierarchie	köstlich	macht	sicherheit	hingabe	herausfordernd	katholisch	menschheit
kompetenz	mutter	höflich	lachen	mächtig	sichern	hobby	herausforderung	kirche	menschlichkeit
konkurrenz	mutter	höflichkeit	leichtigkeit	mächtig	sicherung	hochschule	herausforderungen	kirchen	natur
konkurrieren	nachbarn	identität	leichtigkeit	management	sorgerecht	idee	herausgefordert		natürlich
leistung	nachbarschaft	imposant	locken	manipulation	stabil	ignoranz	hysterie	missionar	opfern
locker	nähe	instruiert	lust	monopol	stabilität	individualität	impuls	mohammed	realisierung
meisterschaft	nähren	integrität	lustig	nachfrage	station	individuell	inbrunst	moral	rechte
niederlage	oma	kombination	nachsicht	nutzen	tarnung	initiative	innovativ	moral	schön
perfektion	pflege	konsens	optimismus	platin	tarnung	inspiration	instabil	moralisch	schön
produktiv	ratschlag	konservativ	orgasmus	position	überleben	inspirierend	instabilität	moschee	schönheit
professionell	rückendeckung	konserviert	party	potenzial	überleben	inspiriert	intensität	moslem	schutz
qualifiziert	sanft	konvention	scherz	privileg	umsichtig	instinkt	intensiv	muhammad	schützen
qualität	sich verlassen	konventionell	scherz	profit	verängstigt	intellekt	interessant	muslim	schützen
schätzen	sympathie	konventionen	scherzen	profitabel	verhindern	intellektuell	kampf	mystiker	schützt
stolz	sympathisch	konzession	scherzhaft	reich	versicherung	intelligent	kühnheit	mythos	sinnvoll
stolz	trauer	legal	sehnsucht	reichste	verstecken	intelligenz	langeweile	nachkommenschaft	solidarität
top	treue	legitim	sex	reichtum	verteidigen	interesse	leidenschaft	orthodox	sortiment
verbesserung	unterstützend	mainstream	sexualität	ressourcen	verteidigen	intuition	leidenschaftlich	predigen	sozial
verbesserung	unterstützend	maßnahme	sexuell	schick	verteidigung	klug	motivation	predigt	sozial
verbesserungen	unterstützung	muss	sexuell	schwach	voraussicht	konfrontation	mut	predigten	spirituell
verdienst	vater	normen	sexy	schwäche	vorsicht	kontemplation	mutig	priester	takt
verlieren	verantwortlich	offiziell	sinnlich	schwächen	vorsicht	kontrovers	nervenkitzel	prophet	teilen
vollbringen	verantwortung	organisation	spaß	schwächer	vorsichtig	kontroverse	neu	protestantisch	teilen
vollenden	verband	periodisch	spiele	schwanken	vorsichtig	kostenlos	neuer	reinheit	tolerant
voranbringen	verbündeter	pflicht	spielen	sieg	vorsichtsmaßnahmen	kreativ	neueste	religion	toleranz
vorteil	vergebung	politik	spielerisch	stark	wache	kreativität	neugierde	religionen	tolerieren
wachstum	versöhnlich	politikbereiche	unangenehm	stärke	wächter	kritisch	neuheit	religiös	toleriert
wert	vertrauen	rechtfertigen	unterhalten	stärken	warnen	künstlerisch	paranoid	retter	umwelt
wertschätzung	vertrauenswürdig	regel	unterhaltsam	status	warnung	lehrreich	radikal	ritual	umwelt
wettbewerb	verzeihen	regelmäßig	unterhaltung	stehend	zuflucht	lektionen	raserei	rituale	unfair
wettbewerbsfähig	vorliebe	regeln	urkomisch	teuer		lernen	revolutionär	ritus	ungerechtigkeit
wirksam	wärme	regulierung	urlaub	überlegen		lernen	risiken	seele	union
	wohlwollen	repetitiv	urlaub	überlegenheit		logik	risiko	segen	universell
	zart	reserve	verführung	überschuss		meditation	roman	segen	unternehmen
	zärtlichkeit	respekt	vergnügen	verdienen		meinung	rühren	segnen	verbindung
	zugehörigkeit	respektiert	vergnügungen	verdienste		missachten	schock	skrupel	vereinigt
	zuneigung	respektiert	verlangen	verfolgung		nachdenken	schockiert	sünde	verletzlich
	zuständigkeiten	restriktiv	verlocken	vergeben		nachdenklich	spannung	teufel	verstehen
	zuverlässig	routinemäßig	versuchung	vermögen		neigung	spontan	theologie	verstehen
	zuverlässig	rücktritt	verzauberung	voraus		neugierig	stimuliert	tradition	vielfalt
		scham	zufrieden stellend	vorteil		original	störung	traditionell	vielfältig
