Achievement	Benevolence	Conformity	Hedonism	Power	Security	Self-Direction	Stimulation	Tradition	Universalism
abilità	affetto	a digiuno	adempimento	acquisire	al sicuro	agire	adrenalina	abituato a	accetta
apprezzamento	affidabile	accordo	allegro	acquista	allarme	agito	affascinante	abitudine	accettare
apprezzare	aiuto	adatto	anelito	acquisti	allerta	analisi	agitare	abitudini	accettazione
approvazione	alleato	adeguata	appetito	acquisto	armatura	apprendimento	ambendo	adorazione	accordo
attività commerciale	amichevole	affidabile	attrazione	agenzia	assicurato	artistico	annoiati	allah	aggraziato
attività commerciali	amici	autorità	barzelletta	aggressivo	assicurazione	atti	annoiato	angelo	ambiente
avanzamento	amicizia		celebrazioni	attacco	attento	attivista	appassionato	anima	assortimento
avanzare	amico	autorizzato	comfort	autorità	attenzione	attività	audace	antenati	avidità
campione	amore	autorizzazione	commedia	avanti	avvertimento	atto	audacia	ascendenza	avido
capacità	appartenenza	certezza	compensazione	bonus	avvertito	azione	avventura	ateo	bella
celebrare	associazione	codice	compimento	bordo	avvisare	azioni	avventure	benedetto	bellezza
cervelli	autentico	combinazione	confortevole	calibro	barriera	brillantezza	brivido	benedici	bellissimo
competente	bisogno	compostezza	contento	capitale	calcolo	capacità	codardo	benedire	benvenuti
competenza	bontà	concessione	corteggiamento	colonna vertebrale	calma	condanna	contraddizione	benedizione	benvenuto
competenze	buona volontà	confini	delizioso	comando	camouflage	confronto	coraggio	benedizioni	capire
	calore	conformarsi a	desiderio	combattimento	camuffare	conoscenza	coraggioso	bibbia	caritatevole
competere	collettivo	conformità	deviazione	commercio	catastrofica	consapevolezza	curiosità	cappella	clima
competitivo	compagni di viaggio	consenso	divertente	concorso	catastrofico	contemplazione	dinamica	cattolico	coalizione
completamento	compagnia	conservato	divertimento	conquista	conseguenze	controversia	dinamico	celeste	collaborazione
concorrenza	compagno	conservatore	ecstasy	conquistare	crisi	controverso	disturbo	cerimonia	compagnia
conseguimento	compassione	conservatori	erotico	contanti	custode	convinzione	diverso	cerimonie	complesso
crescita	compassionevole	conservazione	esilarante	controllando	custodia		divertente	chiesa	compromesso
dare la precedenza	comprensivo	convegni	estasi	controllo	danni	crea	divertimento	chiese	comunità
dignità		convenzionale	esultare	costosi	danno	creare	dramma	clan	connessione
efficace	consigli	convenzione	euforia	costoso	difendere	creatività	drammatico	comandamenti	cooperativa
efficiente	contributo	convenzioni	facilità	debole	difensiva	creativo	eccitante	congregazione	cooperazione
efficienza	coop	cortesia	fascinazione	debolezza	difesa	creazione	eccitazione	corrotti	coordinato
eleganza	cugino	credibilità	fascino	debolezze	garanzia	criticamente	energia	coscienza	crudele
eseguire	cura	decenza	felice	diritto	guaio	curioso	energico	covata	cultura
esperienza	degno di fiducia	decisione	felicità	domanda	guardia	decisione	energie	credenti	decoro
fiero di te	delicato	deve	festa	dominante	impaurito	determinato	entusiasmo	cristianesimo	democratici
formazione	dolore	di routine	feticcio	dominanza	impedire	determinazione	entusiasta	cristiani	democratico
ha vinto	dono	dimissioni	fetish	dominare	in ordine	devozione	esercizio	cristo	democrazia
in grado di	empatia	disciplina	gioca	dominio	innocuo	di mente		culto	diritti dell'uomo
industria	famiglia	dovere	giocare	eccedenza	la difesa	direttamente	esperienze	dannato	discriminazione
la sconfitta	famiglie	doveri	giochi	economia	lungimiranza	diretto	esperimento	diavolo	diversi
lavori	fare affidamento	entità	giocoso	egoista	malattia	direzione	esploratore	dio	diversità
lavoro	fiducia	esitare	gioia	elevazione	messo in guardia	disprezzo	esplorazione	discendenti	equilibrato
merito	fratellanza	etichetta	godere	elite	mettere in salvo	distintivo	estremo	divinità	equilibrio
miglioramenti	generosità	galateo	godimento	energia	minacce	educativo	fascino	eredità	equità
miglioramento	genitori	evitare	goduto	entrate	minaccia	esame	fervore	etica	estetica
migliore	gentile		gusto	esecuzione	minacciare	famoso	frenesia	fede	estetico
occupazione	gentilezza	evitato	i piaceri	facoltosi	minacciati	fiducioso	giocare	fedeli	fiera
onori	i nonni	familiare	incanto	fantasia	minaccioso	filosofia	glamour	folclore	fusione
onorificenze	incoraggiamento	fiducia	indennizzi	forte	nascosto	fondamento logico	guidare	folklore	generoso
orgoglioso	incoraggiante	flessibilità	indulgenza	forza	nemici	formazione scolastica	i cambiamenti	fratelli e sorelle	giustizia
padronanza	incoraggiare	formalmente	intrattenere	forzare	ordinato	forza di volontà	impazienza	generazioni	giusto
perdere	incoraggiati	forzato	intrattenimento	forzata	ordine	gratis	impegnativo	gente	grazioso
perfezione	incoraggiato	gentile	la lussuria	forzatura	paura	gratuito	imprevedibile	gesù	indirizzo
più grande	intimità	gerarchia	la sessualità	gestione	pericolo	gravità	impulso	giustizia	ingiustizia
popolare	la nonna	giustificare	leggerezza	guadagnare	pericoloso	grinta	incertezza	gli antenati	ingiusto
posti di lavoro	leale	identità	lussuria	guadagni	più sicuro	hobby	incertezze	grazia	interpretazione
