Achievement	Benevolence	Conformity	Hedonism	Power	Security	Self-Direction	Stimulation	Tradition	Universalism
ambacht	aangemoedigd	aarzelen	aangenaam	— Beroep tot	aandacht	actie	adembenemend	aanbidden	aanvaarden
baan	aanmoedigen	ambtenaar	Afleiding	aankoop	alarm	acties	adrenaline	aanbidding	aanvaarding
bedrijf	aanmoedigend	autoriteiten	allure	Aankopen	Angst	activist	amusant	afstamming	accepteer
bekwame	aanmoediging	behoud	amusement	aanval	bang	activiteit	amusement	Allah	adres
beloning	advies	beleefd	Attractie	Achtervolging	barrière	activiteiten	anders	almachtig	assortiment
beloningen	Ally	beleid	betovering	Agentschap	bedreigd	advies	Avonturen	atheïst	barmhartigheid
bereiken	bedankt	Beleidsterreinen	bevredigend	agressief	bedreigend	analyse	avontuur	bedorven	Bedrijf
bereikt	behandeling	beperkend	charme	autoriteit	bedreiging	artistiek	beweging	bidden	begrijpen
beste	bemoedigend	Beperkingen	comfort	beheer	bedreigingen	attent	buitengewoon	bijbel	begrip
bevoegdheid	betrouwbaar	beperkt	comfortabel	belangen	berekening	beginselen	dapperheid	broeden	beschermd
capaciteit	bezorgdheid	bescheiden	compensatie	bonus	Beschutting	bepaald	doorbraak	broers en zussen	beschermen
competent	bijdrage	bescheidenheid	dorst	contant geld	Bestellen	bepaling	drama	ceremonie	bescherming
competentie	bondgenoot	besluit	ecstasy	controle	beveiligd	beroemd	dramatisch	ceremonies	beschermt
competitief	broederschap	bestellingen	een grapje	controlerend	Beveiligen	besluit	drukte	Christendom	betekenis
concurrentie	buren	bewaard gebleven	een vergoeding	de elite	bewaker	Beweegreden	durf	christenen	Betekenisvol
concurreren	buurt	code	eetlust	dominant	bewaren	beweren	durven	Christus	bevallig
concurrerend	Coop	combinatie	erotisch	dominantie	camouflage	Bewustzijn	dynamiek	clan	bevestiging
eerbetuigingen	deelname	committen	euforie	domineren	catastrofaal	broeden	dynamisch	de hemel	bevoegd
effectief	delicaat	concessie	extase	duur	crisis	broeierig	Energie	de prediking	bevrijding
efficiënt	echt	consensus	fascinatie	dwingen	defensief	buiten beschouwing gelaten	energieën	deugd	coalitie
efficiëntie	eerlijk	conservatief	feest	dwingend	Dreigement	confrontatie	energiek	Dienst	complex
elegantie	empathie	conventie	fetisj	economie	dreigen	contemplatie	enthousiasme	duivel	compromis
erkend	familie	conventies	fonkeling	egoïstisch	dreigend	controverse	enthousiast	engel	coöperatie
erkent	gastvrijheid	conventioneel	games	eigendom	garantie	controversieel	Ervaringen	Eren	cultuur
ervaring	gemeenschappelijk	discipline	geluk	eisen	Gevaar	creatie	Experiment	erfgoed	de maatschappij
expertise	genegenheid	Eenstemmig	gelukkig	elite	gevaarlijk	creatief	exploratie	ethiek	de mensheid
faciliteit	geschenk	Eerbied	gelukkiger	Gebruik	gevaren	creativiteit	extreem	ethisch	delen
gekwalificeerd	gevoel	eerlijk	gemak	gedwongen	gevolgen	creëert	fascinerend	Familieleden	Democraten
gepromoot	gezinnen	eerlijk gezegd	geniet van	geld	gewaarschuwd	creëren	gedurfd	folklore	democratie
gereedheid	goedheid	entiteit	genieten	Gezag	geweld	denk na	gelegenheid	gebed	democratisch
geslaagd	goodwill	etablissement 	genoegen	handel	gezondheid	denken	gepassioneerd	geboden	discriminatie
goedkeuring	grootmoeder	etiquette	genoegens	handhaving	harnas	denkt	geschokt	geloof	diversiteit
groei	grootouders	fatsoen	genot	Heerschappij	kalmte	denkt na	Gestimuleerd	gelovigen	eenheid
grootste	Helpen	flexibiliteit	genoten	inkomen	netjes	direct	glamour	gemeente	eerlijk
herken	Hulp	formeel	Geslacht	invloed	onschadelijk	doel	gokken	genade	eerlijkheid
herkent	intimiteit	geautoriseerd	gevoel	invloedrijk	Opmerken / acht op slaan	doelen	grappig	generaties	erkenning
hersenen	jammer	gediend	gewaarwording	kaliber	opslaan	doelstellingen	gretigheid	gerechtigheid	esthetisch
het beste	Kameraadschap	geduld	grap	kapitaal	overleven	ernst	hysterie	Geschrift	Evenwicht
industrie	kennis	gehoorzaamheid	grappig	kracht	overleving	evolueert	impuls	getrouw	Evenwichtig (verb: evenwichtig zijn)
job	liefde	gehoorzamen	heerlijk	krachtig	privacy	filosofie	innovatief	getrouwd	Fatsoen
jobs	loyaal	geïnstrueerd	Heme	leiden	probleem	gedachte	instabiel	gewend	fusie
kampioen	Loyaliteit	gelijkenis	hilarisch	leiderschap	problemen	gedachten	instabiliteit	geweten	gecoördineerd
kwaliteit	Man	geloofwaardigheid	humor	lonen	redding	geest	intensief	gewoonte	geestelijk
los	mededogen	gerespecteerd	juichen	luxe	Rust	gehandeld	intensiteit	gewoonten	gelijkenis
meesterschap	medelevend	geschikt	kom tot rust	Macht 	rustig	geïnspireerd	interessant	gezegend	gelijkheid
nederlaag	metgezel	Geschonden	komedie	management	schade	geleerd	kans	God	Gemeenschap
ontwikkeling	Metgezellen	geserveerd	lachen	manipulatie	schild	geleerde	kansen	Goddelijkheid	Gemeenschappen
opbrengst	Moeder	herhalende	leuk	middelen	schoon	gemoedelijk	lafaard	godvruchtig	genereus
opleiding	nabijheid	hiërarchie	Lichtheid	monopolie	stabiel	geobsedeerd	moed	Grace	gerechtigheid
perfectie	neef	hoffelijkheid	Lokken	Monopoly	stabiliteit	geschil	moedig	heilig	getolereerd
populair	nodig hebben	identiteit	lust	omzet	stal	Gevat	mogelijkheden	heiligheid	hebzucht
productief	noodzaak	imposant	onaangenaam	Onroerend goed	Stil	gezichtsvermogen	motivatie	hemels	hebzuchtig
professional	nuttig	instandhouding	onderhoudend	ontvangsten	terugtrekken	gratis	mysterieus	het christendom	interpretatie
professioneel	oma	instructie	ontspan je.	opbrengsten	toevluchtsoord	grit	nieuw	historisch	kalmte
promotie	ondersteunen	Instructies	ontspanning	opdracht	veilig	handelen	nieuwer	huwelijk	klimaat
resultaten	ondersteunend	integriteit	Opgetogenheid	overschot	veiliger	handelend	nieuwigheid	huwelijken	kwetsbaar
succes	ondersteuning	juridisch	optimisme	overwinning	veiligheid	hobby	nieuwsgierigheid	instelling	liberaal
successen	oprecht	kalmte	orgasme	platina	Verbergen	idee	Nieuwste	islam	liefdadigheid
top	opvoeding	legaal	partij	positie	verdedigen	ijdelheid	oefening	Jezus	maatschappij
trots	ouders	legitiem	plezier	potentieel	verdedigend	in zicht	onbekend	kapel	menselijkheid
uitvoeren	relatie	mainstream	pret	prijs	verdediging	individualiteit	ongeduld	katholiek	mensheid
Vaardigheden	steun	meten	recreatie	rand	verzekering	individueel	ongekend	kerk	milieu
vaardigheid	sympathie	moet	rust	recht hebben	vijanden	individuele	onregelmatig	kerken	mooi
verbetering	sympathiek	naleving	seks	rijk	voogd	initiatief	onrust	Mensen	natuur
verbeteringen	tederheid	nederig	seksualiteit	rijkdom	voogdij	inspanning	onstabiel	missionaris	Natuurlijk
verdienste	vader	nederigheid	seksueel	rijkste	voorkomen	inspanningen	Ontdek	Mohammed	offer
verliezen	verantwoordelijk	normen	seksueel gezien	ruggengraat	vooruitziende blik	inspiratie	ontdekkingen	moraliteit	oneerlijk
vermogen	verantwoordelijkheden	officieel	sensueel	salaris	vooruitziendheid	inspirerend	ontdekkingsreiziger	moreel	onrecht
vieren	verantwoordelijkheid	ondergeschikt	sexy	staand	voorzichtig	instinct	ontdekt	moskee	oprechtheid
voltooiing	Verbondenheid	onderhouden	smaak	status	Voorzichtigheid	intellect	onvoorspelbaar	moslim	overeenkomst
voordeel	verdriet	ongepast	Speel	sterk	voorzorgsmaatregelen	intellectueel	onzeker	mysticus	realisatie
vooruitgaan	vereniging	ontslag	speels	sterke punten	waarschuwen	intelligent	onzekerheid	mythe	rechten
vooruitgang	vergeven	op passende wijze	spelen	strijd	waarschuwing	intelligentie	opwindend	nakomelingen	rechtvaardigheid
Waarde	vergeving	opdringerig	spellen	superieur	waken	intelligentie-	opwinding	onschuld	samenwerking
waarderen	vergiffenis	organisatie	tevredenheid	superioriteit	ziekte	intentie	paranoïde	ontzag	schoonheid
waardering	vertrouwen	overeenkomst	vakantie	toestand	Zone	Intenties	passie	oorsprong	sereniteit
waardigheid	vriend	overeenstemming	verfrissing	toezicht		interesseren	poging	orthodox	sierlijk
wedstrijd	vriendelijk	passend	verheugd	verder		intuïtie	pogingen	prediking	sociaal
werk	vriendelijkheid	periodiek	Verheuging (verb: verheugen)	verdienen		inzicht	proberen	preek	solidariteit
werkgelegenheid	vrienden	procedure	verkering	verdiensten		kenmerkend	progressief	preken	tact
winnen	vriendschap	Rechtvaarding (verb: rechtvaarden)	verlangen	verhoging		Kennis	radicaal	priester	tolerant
won	vrijgevigheid	reden	verleiding	verkrijgen		keuze	razernij	profeet	tolerantie
zaken	vrouw	regel	vermaak	vernedering		Kies	revolutionair	protestant	tolereren
	warmte	regelgeving	Vermaken 	veroveren		Kiezen	rijden	rechtvaardigheid	uitleg
	zachtjes	regelmatig	verrukkelijk	verovering		kritisch	risico	Redder	Unie
	zorg	Regels	vervulling	versterkt		leerzaam	Risico’s	religie	universeel
	zorgzaam	Regulatie	verwennerij	Voordeel		leren	risico's	religies	verbinding
		repetitief	vieringen	voorrecht		lessen	roeren	religieus	verdraagzaam
		reserve	Vreugde	vraag		logica	roman	rite	Verenigd
		reserveren	vrije tijd	vraag naar		maak	schok	ritueel	Verenigde
		respect		wedstrijd		maakt	sensatie	rituelen	verschillend
		restrictief		welvaart		Matuur / volwassen	shock	theologie	vrede
		routinematig		wervelkolom		meditatie	spannend	traditie	vredig
		schaamte		winnen		mening	spanning	tradities	vrijheden
		schandalig		winst		minded	spontaan	traditioneel	vrijheid
		schenden		winstgevend		negeren	Stam	Twjfels	welkom
		straf		zege		neiging	stimulerend	verdoemd	wijs
		structuur		zelfzuchtig		nieuwsgierig	streven	voorgeslacht	wijsheid
		systeem		zwak		observatie	tegenspraak	voorouders	wijzigingen
		taken		zwakheden		obsessie	tegenstrijdigheid	voorvaders	wreed
		terughoudendheid		zwakheid		onafhankelijk	temperament	voorzienigheid	
		toegewijd		zwakke punten		onafhankelijkheid	uitdagend	zegen	
		Toestaan		zwakker		Onderneming (verb: ondernemen)	uitdaging	zegenen	
		toestemming		zwakte		onderwijs	uitdagingen	Zegeningen	
		Uitspraak				Onderzoek	uitgedaagd	zendeling	
		vasten				onenigheid	uitvinding	ziel	
		vastleggingen				ontdekking	uitvindingen	zonde	
		verbintenis				ontwikkelen	uniek	zuiverheid	
		verboden				onwetendheid	Variëteit		
		verbond				opstand	veranderingen		
		Verdrag				origineel	verkennen		
		vereist				overpeinzing	verkenning		
		vereiste				overtuiging	verrassend		
		vergunning				plan	verrassend genoeg		
		verlegenheid				plukken	verstoring		
		vermeden				principes	verveeld		
		vermijd het				protest	verveling		
		vermijden				Redenering	vitaliteit		
		vernederen				reflectie	vurigheid		
		verordening				rente	worstelen		
		Verplicht				richting			
		verplichting				ruggengraat			
		vertrouwd				sceptisch			
		vertrouwen				schittering			
		Voldoen aan				slim			
		voorschrift				speciaal			
		wet				speculatie			
		wetgeving				sprint			
		wetten				Sturing (verb: sturen)			
		zekerheid				talent			
		Zich houden aan / volgen				talenten			
						toewijding			
						toneel spelen			
						Universiteit			
						van plan zijn			
						vastbesloten			
						verbeelding			
						verlichting			
						vermogen			
						veroordeling			
						verzet			
						vindingrijkheid			
						visie			
						voorgevoel			
						voornemen			
						Vooruitgang			
						vrij			
						vrijheid			
						wetenschap			
						wilskracht			
						zelfverzekerd			
