Argument ID	URL	Internet Archive timestamp	Premise token position	Stance	Conclusion token position
G01001	https://www.nytimes.com/2021/05/06/opinion/herd-immunity-us.html	20220708003745	130:361	in favor of	35:129
G01002	https://www.nytimes.com/2021/05/06/opinion/herd-immunity-us.html	20220708003745	591:730	in favor of	731:836
G01003	https://www.nytimes.com/2021/05/06/opinion/herd-immunity-us.html	20220708003745	837:931	in favor of	591:730
G01004	https://www.nytimes.com/2021/05/06/opinion/herd-immunity-us.html	20220708003745	1591:1971	in favor of	1467:1590
G01005	https://www.nytimes.com/2021/05/06/opinion/herd-immunity-us.html	20220708003745	2416:2468	in favor of	1972:2123
G01006	https://www.nytimes.com/2021/05/06/opinion/herd-immunity-us.html	20220708003745	2300:2415	in favor of	2416:2468
G01007	https://www.nytimes.com/2021/05/06/opinion/herd-immunity-us.html	20220708003745	3052:3168	in favor of	3006:3051
G01008	https://www.nytimes.com/2021/05/06/opinion/herd-immunity-us.html	20220708003745	3454:3727	in favor of	3369:3453
G01009	https://www.nytimes.com/2021/05/16/opinion/covid-lasting-effects.html	20211021082529	312:392	against	258:311
G01010	https://www.nytimes.com/2021/05/16/opinion/covid-lasting-effects.html	20211021082529	596:683	against	467:595
G01011	https://www.nytimes.com/2021/05/16/opinion/covid-lasting-effects.html	20211021082529	684:782	against	596:683
G01012	https://www.nytimes.com/2021/05/16/opinion/covid-lasting-effects.html	20211021082529	1228:1309	in favor of	1202:1227
G01013	https://www.nytimes.com/2020/02/07/opinion/sunday/china-coronavirus.html	20230117095458	1694:1823	in favor of	1824:1859
G01014	https://www.nytimes.com/2020/02/07/opinion/sunday/china-coronavirus.html	20230117095458	2068:2182	in favor of	2032:2067
G01015	https://www.nytimes.com/2020/02/07/opinion/sunday/china-coronavirus.html	20230117095458	2392:2447	in favor of	2282:2391
G01016	https://www.nytimes.com/2020/02/07/opinion/sunday/china-coronavirus.html	20230117095458	2898:3035	in favor of	2817:2897
G01017	https://www.nytimes.com/2020/02/07/opinion/sunday/china-coronavirus.html	20230117095458	3296:3388	in favor of	3189:3295
G01018	https://www.nytimes.com/2020/02/07/opinion/sunday/china-coronavirus.html	20230117095458	4531:4729	in favor of	4372:4530
G01019	https://www.nytimes.com/2020/06/22/opinion/us-coronavirus-trump.html	20230101151848	93:445	in favor of	47:91
G01020	https://www.nytimes.com/2020/06/22/opinion/us-coronavirus-trump.html	20230101151848	970:1213	in favor of	874:969
G01021	https://www.nytimes.com/2020/06/22/opinion/us-coronavirus-trump.html	20230101151848	1241:1455	in favor of	1214:1240
G01022	https://www.nytimes.com/2020/06/22/opinion/us-coronavirus-trump.html	20230101151848	2378:2595	in favor of	2596:2685
G01023	https://www.nytimes.com/2020/06/22/opinion/us-coronavirus-trump.html	20230101151848	2810:3020	in favor of	2686:2809
G01024	https://www.nytimes.com/2020/06/22/opinion/us-coronavirus-trump.html	20230101151848	3494:3681	against	3346:3493
G01025	https://www.nytimes.com/2020/06/22/opinion/us-coronavirus-trump.html	20230101151848	4350:4465	in favor of	4185:4349
G01026	https://www.nytimes.com/2020/08/19/opinion/coronavirus-risk-prevention.html	20220224011211	385:603	in favor of	333:384
G01027	https://www.nytimes.com/2020/08/19/opinion/coronavirus-risk-prevention.html	20220224011211	860:1019	in favor of	1020:1100
G01028	https://www.nytimes.com/2020/08/19/opinion/coronavirus-risk-prevention.html	20220224011211	1244:1480	in favor of	1101:1243
G01029	https://www.nytimes.com/2020/08/19/opinion/coronavirus-risk-prevention.html	20220224011211	1481:1578	in favor of	1579:1668
G01030	https://www.nytimes.com/2020/08/19/opinion/coronavirus-risk-prevention.html	20220224011211	3508:3612	in favor of	3458:3507
G01031	https://www.nytimes.com/2020/08/19/opinion/coronavirus-risk-prevention.html	20220224011211	4123:4504	in favor of	4505:4558
G01032	https://www.nytimes.com/2020/08/19/opinion/coronavirus-risk-prevention.html	20220224011211	4559:4642	in favor of	4505:4558
G01033	https://www.nytimes.com/2020/08/19/opinion/coronavirus-risk-prevention.html	20220224011211	5435:5577	against	5223:5434
G01034	https://www.nytimes.com/2020/09/17/opinion/coronavirus-vaccine-trials.html	20220806174520	136:206	in favor of	208:365
